name,colors,types,price,tags
Chronatog,['U'],['Creature'],0.18,['cycle']
Chronatog Totem,['C'],['Artifact'],0.03,"['ramp', 'type-change', 'mana-producer', 'cycle']"
Chronic Flooding,['U'],['Enchantment'],0.03,"['mill', 'cycle']"
Chronicler of Heroes,"['G', 'W']",['Creature'],0.04,"['unique-type-line', 'virtual-vanilla', 'draw', 'cantrip', 'pp-counters-matter', 'counters-matter', 'card-advantage', 'flavors-of-vanilla', 'draft-signpost', 'cycle']"
Chronicler of Worship,['G'],['Creature'],,"['draw', 'ramp', 'cantrip', 'card-advantage', 'mana-producer']"
Chronomancer,['B'],"['Artifact', 'Creature']",2.57,"['evasion', 'draw', 'repeatable-draw', 'delayed-triggered-ability', 'synergy-artifact', 'card-advantage', 'reanimate', 'sacrifice-outlet', 'recursion']"
Chronomantic Escape,['W'],['Sorcery'],0.03,"['intervening-if-clause', 'cycle']"
Chronosavant,['W'],['Creature'],0.02,"['reanimate', 'recursion']"
Chronostutter,['U'],['Instant'],0.04,"['removal-creature', 'removal']"
Chronozoa,['U'],['Creature'],0.02,"['evasion', 'intervening-if-clause', 'death-trigger-self', 'death-trigger', 'leaves-battlefield-trigger', 'copy']"
Chthonian Nightmare,['B'],['Enchantment'],0.02,"['sacrifice-outlet-creature', 'mana-value-matters', 'sacrifice-outlet', 'cycle']"
Chub Toad,['G'],['Creature'],0.04,"['creature-type-erratum', 'card-names']"
"Chulane, Teller of Tales","['G', 'U', 'W']",['Creature'],0.08,"['alliteration', 'alliteration', 'draw', 'repeatable-draw', 'cast-trigger-you', 'ramp', 'cast-trigger', 'card-advantage', 'cycle', 'card-names']"
Chupacabra Echo,['B'],['Creature'],0.03,"['unique-type-line', 'virtual-vanilla', 'removal-creature', 'removal', 'flavors-of-vanilla']"
Churning Eddy,['U'],['Sorcery'],0.05,"['removal-creature', 'removal']"
Churning Reservoir,['R'],['Artifact'],0.03,"['repeatable-token-generator', 'synergy-artifact']"
Cinder Barrens,['C'],['Land'],,"['cycle-land', 'cycle']"
Cinder Cloud,['R'],['Instant'],0.04,"['alliteration', 'alliteration', 'burn-player', 'removal-creature-destroy', 'removal-creature', 'removal', 'hate-color', 'card-names']"
Cinder Crawler,['R'],['Creature'],0.09,"['alliteration', 'alliteration', 'mana-sink', 'card-names']"
Cinder Elemental,['R'],['Creature'],,"['mana-sink', 'burn-any', 'burn-player', 'removal-creature-burn', 'sacrifice-self', 'removal-planeswalker-burn', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'sacrifice-outlet', 'removal']"
Cinder Giant,['R'],['Creature'],0.04,['drawback']
Cinder Glade,['C'],['Land'],0.32,"['cycle-land', 'cycle']"
Cinder Hellion,['R'],['Creature'],0.04,"['virtual-french-vanilla', 'burn-player', 'removal-planeswalker-burn', 'removal-planeswalker', 'removal', 'flavors-of-vanilla']"
Cinder Marsh,['C'],['Land'],0.09,"['cycle-land', 'cycle']"
Cinder Pyromancer,['R'],['Creature'],0.03,"['cast-trigger-you', 'burn-player', 'removal-planeswalker-burn', 'cast-trigger', 'removal-planeswalker', 'removal', 'cycle']"
Cinder Seer,['R'],['Creature'],0.12,"['creature-type-erratum', 'burn-any', 'burn-player', 'removal-creature-burn', 'removal-planeswalker-burn', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'removal', 'cycle']"
Cinder Shade,"['B', 'R']",['Creature'],0.04,"['sacrifice-outlet-creature', 'removal-creature-burn', 'sacrifice-self', 'power-matters', 'removal-creature', 'sacrifice-outlet', 'removal']"
Cinder Storm,['R'],['Sorcery'],0.06,"['burn-any', 'burn-player', 'removal-creature-burn', 'removal-planeswalker-burn', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'removal']"
Cinder Wall,['R'],['Creature'],,"['drawback', 'delayed-triggered-ability']"
Cinderbones,['B'],['Creature'],0.03,[]
Cinderclasm,['R'],['Instant'],0.03,"['symmetrical', 'sweeper']"
Cindercone Smite,['R'],['Sorcery'],,"['removal-creature-burn', 'removal-creature', 'removal']"
Cinderhaze Wretch,['B'],['Creature'],0.03,"['discard', 'cycle']"
Cinderheart Giant,['R'],['Creature'],0.03,"['death-trigger-self', 'removal-creature-burn', 'death-trigger', 'removal-creature', 'leaves-battlefield-trigger', 'removal']"
Cindering Cutthroat,"['B', 'R']",['Creature'],0.03,"['evasion', 'alliteration', 'alliteration', 'gains-pp-counters', 'cycle', 'card-names']"
Cinderslash Ravager,"['G', 'R']",['Creature'],0.03,"['virtual-french-vanilla', 'counters-matter', 'sweeper', 'flavors-of-vanilla', 'draft-signpost', 'cycle']"
Cindervines,"['G', 'R']",['Enchantment'],0.18,"['burn-player', 'cast-trigger', 'removal-artifact', 'removal-enchantment', 'sacrifice-outlet', 'removal']"
Circle of Affliction,['B'],['Enchantment'],0.03,"['lifegain', 'opponent-loses-life', 'hate-color']"
Circle of Confinement,['W'],['Enchantment'],0.03,"['alliteration', 'alliteration', 'lifegain', 'namesake-spell', 'removal-creature', 'cast-trigger', 'removal', 'cycle', 'card-names']"
Circle of Despair,"['B', 'W']",['Enchantment'],0.03,"['sacrifice-outlet-creature', 'damage-prevention', 'sacrifice-outlet']"
Circle of Dreams Druid,['G'],['Creature'],0.02,"['alliteration', 'alliteration', 'ramp', 'mana-producer', 'dnd', 'card-names']"
Circle of Elders,['G'],['Creature'],0.03,"['ramp', 'power-matters', 'mana-producer']"
Circle of Flame,['R'],['Enchantment'],0.04,"['attack-trigger', 'attack-trigger', 'removal-creature-burn', 'removal-creature', 'removal']"
Circle of Protection: Artifacts,['W'],['Enchantment'],0.03,['damage-prevention']
Circle of Protection: Black,['W'],['Enchantment'],0.03,"['damage-prevention', 'hate-color', 'cycle']"
Circle of Protection: Blue,['W'],['Enchantment'],0.03,"['damage-prevention', 'hate-color', 'cycle']"
Circle of Protection: Green,['W'],['Enchantment'],0.03,"['damage-prevention', 'hate-color', 'cycle']"
Circle of Protection: Red,['W'],['Enchantment'],0.04,"['damage-prevention', 'hate-color', 'cycle']"
Circle of Protection: Shadow,['W'],['Enchantment'],0.09,['damage-prevention']
Circle of Protection: White,['W'],['Enchantment'],0.03,"['damage-prevention', 'hate-color', 'cycle']"
Circle of Solace,['W'],['Enchantment'],0.02,['damage-prevention']
Circle of the Land Druid,['G'],['Creature'],0.44,"['unique-type-line', 'death-trigger-self', 'death-trigger', 'mill-self', 'card-advantage', 'mill', 'regrowth', 'leaves-battlefield-trigger', 'recursion', 'dnd']"
Circle of the Moon Druid,['G'],['Creature'],0.03,"['unique-type-line', 'type-change', 'dnd']"
Circling Vultures,['B'],['Creature'],0.04,"['evasion', 'drawback']"
"Circu, Dimir Lobotomist","['B', 'U']",['Creature'],0.02,"['cast-trigger-you', 'cast-trigger', 'mill', 'cycle']"
Circuit Mender,['C'],"['Artifact', 'Creature']",0.03,"['lifegain', 'draw', 'card-advantage', 'leaves-battlefield-trigger']"
Circuitous Route,['G'],['Sorcery'],,"['ramp', 'tutor-to', 'tutor']"
Circular Logic,['U'],['Instant'],0.04,"['counterspell', 'cycle', 'blue-effect']"
Círdan the Shipwright,"['G', 'U']",['Creature'],0.93,"['attack-trigger', 'attack-trigger', 'draw', 'synergy-attacker-self', 'repeatable-draw', 'card-advantage']"
Cirith Ungol Patrol,['B'],['Creature'],0.03,"['lifegain', 'draw', 'repeatable-draw', 'sacrifice-outlet-creature', 'card-advantage', 'sacrifice-outlet']"
Citadel Castellan,"['G', 'W']",['Creature'],0.03,"['alliteration', 'alliteration', 'intervening-if-clause', 'gains-pp-counters', 'french-vanilla', 'saboteur', 'flavors-of-vanilla', 'draft-signpost', 'cycle', 'card-names']"
Citadel Gate,['C'],['Land'],1.72,['cycle']
Citadel of Pain,['R'],['Enchantment'],0.99,"['burn-player', 'symmetrical']"
Citadel Siege,['W'],['Enchantment'],,"['gives-pp-counters', 'tapper-creature', 'modal', 'cycle']"
Citanul Centaurs,['G'],['Creature'],0.02,"['alliteration', 'alliteration', 'intervening-if-clause', 'french-vanilla', 'drawback', 'flavors-of-vanilla', 'card-names']"
Citanul Druid,['G'],['Creature'],0.04,"['creature-type-erratum', 'gains-pp-counters', 'cast-trigger', 'card-names']"
Citanul Flute,['C'],['Artifact'],0.02,"['mana-sink', 'tutor-to', 'tutor', 'card-names']"
Citanul Hierophants,['G'],['Creature'],0.29,"['creature-type-erratum', 'ramp', 'mana-producer', 'card-names']"
Citanul Stalwart,['G'],['Creature'],0.03,"['unique-type-line', 'ramp', 'synergy-artifact', 'tap-fuel-creature', 'mana-producer', 'card-names']"
Citanul Woodreaders,['G'],['Creature'],0.04,"['intervening-if-clause', 'virtual-vanilla', 'draw', 'card-advantage', 'flavors-of-vanilla', 'card-names']"
Citizen's Arrest,['W'],['Enchantment'],0.03,"['removal-creature', 'removal-planeswalker', 'removal']"
Citizen's Crowbar,['W'],['Artifact'],0.03,"['alliteration', 'alliteration', 'sacrifice-self', 'removal-artifact', 'removal-enchantment', 'removal', 'card-names']"
City in a Bottle,['C'],['Artifact'],0.02,"['symmetrical', 'sweeper']"
City of Brass,['C'],['Land'],0.78,"['drawback', 'life-payment']"
City of Death,['G'],['Enchantment'],,"['ramp', 'copy']"
City of Shadows,['C'],['Land'],0.17,['ramp']
City of Solitude,['G'],['Enchantment'],2.65,['symmetrical']
City of Traitors,['C'],['Land'],20.17,"['drawback', 'ramp']"
City on Fire,['R'],['Enchantment'],0.02,['tap-fuel-creature']
Cityscape Leveler,['C'],"['Artifact', 'Creature']",2.48,"['attack-trigger', 'attack-trigger', 'synergy-attacker-self', 'ramp', 'delayed-triggered-ability', 'removal-creature', 'removal-artifact', 'reanimate', 'removal-planeswalker', 'removal-enchantment', 'removal', 'recursion']"
Citystalker Connoisseur,['B'],['Creature'],,"['alliteration', 'alliteration', 'virtual-french-vanilla', 'discard-outlet', 'discard', 'card-advantage', 'red-effect', 'flavors-of-vanilla', 'card-names']"
Citywatch Sphinx,['U'],['Creature'],0.04,"['evasion', 'death-trigger-self', 'death-trigger', 'top-deck-manipulation', 'mill-self', 'mill', 'leaves-battlefield-trigger']"
Citywide Bust,['W'],['Sorcery'],,['sweeper']
Civic Gardener,['G'],['Creature'],0.01,"['attack-trigger', 'attack-trigger', 'synergy-attacker-self', 'ramp', 'mana-producer']"
Civic Guildmage,['W'],['Creature'],0.09,"['creature-type-erratum', 'cycle']"
Civic Saber,['C'],['Artifact'],0.04,[]
Civic Stalwart,['W'],['Creature'],0.04,"['virtual-vanilla', 'power-boost-to-all', 'flavors-of-vanilla']"
Civil Servant,"['G', 'W']",['Creature'],0.01,"['attack-trigger', 'attack-trigger', 'lifegain', 'noncreature-tribal', 'synergy-attacker-self', 'tap-fuel-creature', 'typal-creature', 'typal']"
Clackbridge Troll,['B'],['Creature'],0.02,"['lifegain', 'draw', 'repeatable-draw', 'card-advantage']"
Claim Jumper,['W'],['Creature'],0.02,"['unique-type-line', 'intervening-if-clause', 'virtual-french-vanilla', 'ramp', 'punny-name', 'tutor-to', 'tutor', 'flavors-of-vanilla', 'card-names']"
Claim of Erebos,['B'],['Enchantment'],0.03,"['namesake-spell', 'opponent-loses-life', 'cycle', 'card-names']"
Claim the Firstborn,['R'],['Sorcery'],0.03,"['gives-haste', 'theft', 'control-changing-effects']"
Claim the Precious,['B'],['Sorcery'],0.03,"['removal-creature-destroy', 'removal-creature', 'gives-evasion', 'removal']"
Clairvoyance,['U'],['Instant'],,"['draw', 'single-english-word-name', 'delayed-triggered-ability', 'card-advantage', 'card-names']"
Clamavus,['G'],['Creature'],0.57,"['unique-type-line', 'pp-counters-matter', 'counters-matter']"
Clammy Prowler,['U'],"['Enchantment', 'Creature']",0.03,"['attack-trigger', 'attack-trigger', 'synergy-attacker-self', 'synergy-attacker', 'gives-evasion']"
Clamor Shaman,['R'],['Creature'],0.03,"['attack-trigger', 'attack-trigger', 'gains-pp-counters', 'synergy-attacker-self']"
Clamorous Ironclad,['R'],['Artifact'],0.03,"['evasion', 'draw', 'french-vanilla', 'tap-fuel-creature', 'type-change', 'card-advantage', 'flavors-of-vanilla']"
Clan Crafter,['U'],['Enchantment'],2.94,"['alliteration', 'alliteration', 'draw', 'gives-pp-counters', 'repeatable-draw', 'synergy-artifact', 'card-advantage', 'sacrifice-outlet', 'dnd', 'card-names']"
Clan Defiance,"['G', 'R']",['Sorcery'],0.1,"['burn-player', 'removal-creature-burn', 'modal', 'removal-planeswalker-burn', 'removal-creature', 'removal-planeswalker', 'removal', 'cycle']"
Clan Guildmage,"['G', 'R']",['Creature'],0.03,"['gives-haste', 'type-change', 'cycle']"
Clandestine Meddler,['B'],['Creature'],0.03,"['evasion', 'attack-trigger', 'attack-trigger', 'synergy-attacker', 'top-deck-manipulation', 'mill-self', 'gives-evasion', 'mill']"
Clara Oswald,['C'],['Creature'],,"['noncreature-tribal', 'typal-creature', 'typal']"
Clarion Cathars,['W'],['Creature'],0.03,"['alliteration', 'alliteration', 'virtual-vanilla', 'flavors-of-vanilla', 'card-names']"
Clarion Spirit,['W'],['Creature'],0.03,"['repeatable-token-generator', 'cast-trigger-you', 'cast-trigger']"
Clarion Ultimatum,"['G', 'U', 'W']",['Sorcery'],0.02,"['ramp', 'tutor-to', 'tutor', 'cycle']"
Clash of Realities,['R'],['Enchantment'],0.02,"['noncreature-tribal', 'removal-creature-burn', 'removal-creature', 'typal-creature', 'removal', 'typal']"
Clash of Titans,['R'],['Instant'],0.03,"['removal-creature-burn', 'removal-creature', 'removal']"
Clash of Wills,['U'],['Instant'],0.03,"['counterspell', 'cycle', 'blue-effect']"
Clattering Augur,['B'],['Creature'],0.03,"['unique-type-line', 'draw', 'cantrip', 'life-payment', 'card-advantage', 'regrowth', 'recursion']"
Clattering Skeletons,['B'],['Creature'],0.03,"['death-trigger-self', 'death-trigger', 'leaves-battlefield-trigger']"
Claustrophobia,['U'],['Enchantment'],,"['single-english-word-name', 'tapper-creature', 'removal-creature', 'removal', 'card-names']"
"Clavileño, First of the Blessed","['B', 'W']",['Creature'],,"['attack-trigger', 'attack-trigger', 'draw', 'repeatable-token-generator', 'repeatable-draw', 'synergy-attacker', 'death-trigger', 'type-change', 'card-advantage', 'leaves-battlefield-trigger', 'typal-creature', 'typal', 'cycle']"
Clawing Torment,['B'],['Enchantment'],0.03,"['opponent-loses-life', 'removal-creature', 'removal']"
Claws of Gix,['C'],['Artifact'],0.02,"['lifegain', 'namesake-spell', 'sacrifice-outlet', 'card-names']"
Claws of Wirewood,['G'],['Sorcery'],0.05,"['draw', 'burn-player', 'card-advantage', 'sweeper']"
Claws Out,['W'],['Instant'],0.03,"['noncreature-tribal', 'power-boost-to-all', 'typal-creature', 'typal']"
Clay Champion,['C'],"['Artifact', 'Creature']",0.03,"['alliteration', 'alliteration', 'gains-pp-counters', 'virtual-vanilla', 'gives-pp-counters', 'flavors-of-vanilla', 'card-names']"
Clay Golem,['C'],"['Artifact', 'Creature']",,"['gains-pp-counters', 'removal-creature', 'removal-artifact', 'removal-planeswalker', 'removal-enchantment', 'removal', 'dnd']"
Clay Revenant,['C'],"['Artifact', 'Creature']",0.03,"['card-advantage', 'regrowth', 'recursion']"
Clay Statue,['C'],"['Artifact', 'Creature']",0.04,['creature-type-erratum']
Cleanfall,['W'],['Sorcery'],0.03,"['symmetrical', 'sweeper']"
Cleanse,['W'],['Sorcery'],,"['single-english-word-name', 'sweeper', 'hate-color', 'card-names']"
Cleansing,['W'],['Sorcery'],,"['single-english-word-name', 'sweeper', 'card-names']"
Cleansing Beam,['R'],['Instant'],,"['removal-creature-burn', 'removal-creature', 'removal']"
Cleansing Meditation,['W'],['Sorcery'],0.04,"['reanimate', 'sweeper', 'recursion']"
Cleansing Nova,['W'],['Sorcery'],0.27,"['symmetrical', 'modal', 'sweeper']"
Cleansing Ray,['W'],['Sorcery'],0.03,"['noncreature-tribal', 'removal-creature-destroy', 'modal', 'removal-creature', 'typal-creature', 'removal-enchantment', 'removal', 'typal']"
Cleansing Wildfire,['R'],['Sorcery'],0.03,"['draw', 'cantrip', 'card-advantage', 'removal', 'tutor-to', 'tutor']"
Cleanup Crew,['G'],['Creature'],0.01,"['alliteration', 'alliteration', 'lifegain', 'virtual-vanilla', 'modal', 'removal-artifact', 'removal-enchantment', 'removal', 'flavors-of-vanilla', 'card-names']"
Clear,['W'],['Instant'],0.04,"['draw', 'single-english-word-name', 'card-advantage', 'removal-enchantment', 'removal', 'card-names']"
Clear a Path,['R'],['Sorcery'],0.05,"['removal-creature-destroy', 'removal-creature', 'removal']"
Clear Shot,['G'],['Instant'],,"['removal-creature-burn', 'power-matters', 'removal-creature', 'removal']"
Clear the Land,['G'],['Sorcery'],0.41,"['ramp', 'symmetrical', 'impulse', 'card-advantage']"
Clear the Mind,['U'],['Sorcery'],0.03,"['draw', 'cantrip', 'card-advantage', 'recursion']"
Clear the Stage,['B'],['Instant'],0.05,"['power-matters', 'removal-creature', 'card-advantage', 'regrowth', 'recursion-creature', 'removal', 'recursion']"
Clearwater Goblet,['C'],['Artifact'],0.02,"['lifegain', 'counters-matter']"
Cleaver Blow,['B'],['Instant'],,"['draw', 'drawback', 'opponent-loses-life', 'removal-creature-destroy', 'life-payment', 'punny-name', 'removal-creature', 'card-advantage', 'removal', 'card-names']"
Cleaver Skaab,['U'],['Creature'],,"['noncreature-tribal', 'repeatable-token-generator', 'sacrifice-outlet-creature', 'typal-creature', 'copy', 'sacrifice-outlet', 'typal']"
Cleaving Reaper,['B'],['Creature'],0.02,"['evasion', 'noncreature-tribal', 'life-payment', 'card-advantage', 'regrowth', 'typal-creature', 'typal', 'recursion']"
Cleaving Skyrider,['W'],['Creature'],0.03,"['evasion', 'intervening-if-clause', 'virtual-french-vanilla', 'synergy-attacker', 'burn-any', 'burn-player', 'removal-creature-burn', 'removal-planeswalker-burn', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'removal', 'flavors-of-vanilla', 'cycle']"
Cleaving Sliver,['R'],['Creature'],0.24,"['typal-creature', 'typal']"
"Clement, the Worrywort","['G', 'U']",['Creature'],0.02,"['noncreature-tribal', 'ramp', 'mana-value-matters', 'mana-producer', 'typal-creature', 'typal']"
"Cleon, Merry Champion",['R'],['Creature'],,"['alliteration', 'alliteration', 'cast-trigger-you', 'cast-trigger', 'card-advantage', 'red-effect', 'card-names']"
"Cleopatra, Exiled Pharaoh","['B', 'G']",['Creature'],0.14,"['draw', 'gives-pp-counters', 'repeatable-draw', 'death-trigger', 'life-payment', 'counters-matter', 'card-advantage', 'leaves-battlefield-trigger']"
Clergy en-Vec,['W'],['Creature'],0.09,"['creature-type-erratum', 'damage-prevention']"
Clergy of the Holy Nimbus,['W'],['Creature'],,"['creature-type-erratum', 'dilemma']"
Cleric Class,['W'],['Enchantment'],0.03,"['alliteration', 'alliteration', 'lifegain', 'gives-pp-counters', 'mana-sink', 'reanimate-creature', 'reanimate', 'recursion-creature', 'recursion', 'dnd', 'cycle', 'card-names']"
Cleric of Chill Depths,['U'],['Creature'],0.03,[]
Cleric of Life's Bond,"['B', 'W']",['Creature'],0.03,"['lifegain', 'noncreature-tribal', 'gains-pp-counters', 'typal-creature', 'typal', 'draft-signpost', 'cycle']"
Cleric of the Forward Order,['W'],['Creature'],0.04,"['lifegain', 'virtual-vanilla', 'flavors-of-vanilla', 'cycle']"
Clever Concealment,['W'],['Instant'],,"['alliteration', 'alliteration', 'protects-creature', 'tap-fuel-creature', 'protects-permanent', 'card-names']"
Clever Conjurer,['U'],['Creature'],0.03,"['alliteration', 'alliteration', 'ramp', 'mana-producer', 'card-names']"
Clever Impersonator,['U'],['Creature'],,['copy']
Clever Lumimancer,['W'],['Creature'],0.03,"['cast-trigger-you', 'cast-trigger']"
Cliff Threader,['W'],['Creature'],0.03,"['evasion', 'french-vanilla', 'flavors-of-vanilla']"
Cliffgate,['C'],['Land'],0.04,['cycle']
Cliffhaven Kitesail,['C'],['Artifact'],0.03,"['gives-flying', 'gives-evasion']"
Cliffhaven Sell-Sword,['W'],['Creature'],0.03,"['alliteration', 'alliteration', 'card-names']"
Cliffhaven Vampire,"['B', 'W']",['Creature'],0.03,"['evasion', 'opponent-loses-life', 'draft-signpost', 'cycle']"
Cliffrunner Behemoth,['G'],['Creature'],0.02,['lifegain']
Cliffside Lookout,['W'],['Creature'],0.03,"['mana-sink', 'power-boost-to-all']"
Cliffside Rescuer,['W'],['Creature'],0.04,"['protects-creature', 'sacrifice-self', 'gives-evasion', 'protects-permanent']"
Clifftop Lookout,['G'],['Creature'],0.03,"['virtual-french-vanilla', 'ramp', 'card-advantage', 'flavors-of-vanilla']"
Clifftop Retreat,['C'],['Land'],0.19,"['cycle-land', 'cycle']"
Cling to Dust,['B'],['Instant'],0.03,"['lifegain', 'draw', 'cantrip', 'card-advantage']"
Clinging Anemones,['U'],['Creature'],0.04,"['intervening-if-clause', 'gains-pp-counters', 'french-vanilla', 'drawback', 'power-matters', 'flavors-of-vanilla']"
Clinging Darkness,['B'],['Enchantment'],0.04,"['removal-creature', 'removal']"
Clinging Mists,['G'],['Instant'],0.03,['tapper-creature']
Clinquant Skymage,['U'],['Creature'],0.03,"['evasion', 'gains-pp-counters']"
Clip Wings,['G'],['Instant'],0.04,"['removal-creature', 'removal']"
Cloak and Dagger,['C'],"['Kindred', 'Artifact']",0.03,"['unique-type-line', 'protects-creature', 'boost-power', 'punny-name', 'typal-creature', 'protects-permanent', 'typal', 'cycle', 'card-names']"
Cloak of Confusion,['B'],['Enchantment'],0.06,"['alliteration', 'alliteration', 'synergy-attacker', 'discard', 'card-names']"
Cloak of Feathers,['U'],['Sorcery'],,"['draw', 'cantrip', 'gives-flying', 'card-advantage', 'gives-evasion']"
Cloak of Invisibility,['U'],['Enchantment'],0.04,"['evasion', 'gives-evasion']"
Cloak of the Bat,['C'],['Artifact'],0.05,"['gives-haste', 'gives-flying', 'gives-evasion', 'dnd']"
Cloaked Cadet,['G'],['Creature'],0.03,"['alliteration', 'alliteration', 'attack-trigger', 'attack-trigger', 'noncreature-tribal', 'gains-pp-counters', 'draw', 'synergy-attacker-self', 'repeatable-draw', 'synergy-attacker', 'pp-counters-matter', 'power-matters', 'counters-matter', 'card-advantage', 'typal-creature', 'typal', 'card-names']"
Cloaked Siren,['U'],['Creature'],,"['evasion', 'french-vanilla', 'flavors-of-vanilla']"
Cloakwood Hermit,['G'],['Enchantment'],7.65,"['intervening-if-clause', 'repeatable-token-generator', 'dnd']"
Cloakwood Swarmkeeper,['G'],['Creature'],0.04,['gains-pp-counters']
Clock of Omens,['C'],['Artifact'],0.03,['synergy-artifact']
Clockspinning,['U'],['Instant'],0.03,[]
Clockwork Avian,['C'],"['Artifact', 'Creature']",0.04,"['evasion', 'creature-type-erratum', 'intervening-if-clause']"
Clockwork Beast,['C'],"['Artifact', 'Creature']",0.06,"['creature-type-erratum', 'intervening-if-clause']"
Clockwork Beetle,['C'],"['Artifact', 'Creature']",0.03,"['attack-trigger', 'attack-trigger', 'gains-pp-counters', 'drawback']"
Clockwork Dragon,['C'],"['Artifact', 'Creature']",0.02,"['evasion', 'attack-trigger', 'attack-trigger', 'gains-pp-counters', 'drawback', 'mana-sink']"
Clockwork Drawbridge,['W'],"['Artifact', 'Creature']",0.03,"['drawback', 'tapper-creature']"
Clockwork Droid,['C'],"['Artifact', 'Creature']",,"['evasion', 'synergy-attacker-self', 'top-deck-manipulation']"
Clockwork Fox,['C'],"['Artifact', 'Creature']",0.04,"['draw', 'card-advantage', 'leaves-battlefield-trigger']"
Clockwork Gnomes,['C'],"['Artifact', 'Creature']",0.06,"['creature-type-erratum', 'protects-creature', 'protects-permanent']"
Clockwork Hydra,['C'],"['Artifact', 'Creature']",0.04,"['unique-type-line', 'attack-trigger', 'attack-trigger', 'gains-pp-counters', 'synergy-attacker-self', 'burn-any', 'burn-player', 'removal-creature-burn', 'pp-counters-matter', 'removal-planeswalker-burn', 'counters-matter', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'removal']"
Clockwork Percussionist,['R'],"['Artifact', 'Creature']",0.03,"['unique-type-line', 'death-trigger-self', 'death-trigger', 'card-advantage', 'leaves-battlefield-trigger', 'red-effect']"
Clockwork Servant,['C'],"['Artifact', 'Creature']",0.03,"['intervening-if-clause', 'virtual-vanilla', 'draw', 'cantrip', 'card-advantage', 'flavors-of-vanilla']"
Clockwork Steed,['C'],"['Artifact', 'Creature']",0.05,"['evasion', 'creature-type-erratum', 'intervening-if-clause']"
Clockwork Swarm,['C'],"['Artifact', 'Creature']",0.06,"['evasion', 'creature-type-erratum', 'intervening-if-clause']"
Clockwork Vorrac,['C'],"['Artifact', 'Creature']",0.03,"['creature-type-erratum', 'unique-type-line', 'attack-trigger', 'attack-trigger', 'gains-pp-counters', 'drawback']"
Cloister Gargoyle,['W'],"['Artifact', 'Creature']",0.03,['evasion']
Clone,['U'],['Creature'],0.02,"['creature-type-erratum', 'single-english-word-name', 'copy', 'card-names']"
Clone Crafter,['U'],['Creature'],,"['alliteration', 'alliteration', 'virtual-vanilla', 'copy', 'flavors-of-vanilla', 'card-names']"
Clone Legion,['U'],['Sorcery'],,['copy']
Clone Shell,['C'],"['Artifact', 'Creature']",0.03,"['death-trigger-self', 'death-trigger', 'leaves-battlefield-trigger']"
Close Quarters,['R'],['Enchantment'],0.05,"['burn-any', 'burn-player', 'removal-creature-burn', 'removal-planeswalker-burn', 'removal-creature', 'removal-battle-burn', 'removal-planeswalker', 'removal']"
Closing Statement,"['B', 'W']",['Instant'],0.03,"['gives-pp-counters', 'removal-creature-destroy', 'removal-creature', 'removal-planeswalker', 'removal']"
Clot Sliver,['B'],['Creature'],0.23,"['noncreature-tribal', 'typal-creature', 'typal', 'cycle']"
Cloud Cover,"['U', 'W']",['Enchantment'],0.02,"['alliteration', 'alliteration', 'card-names']"
Cloud Crusader,['W'],['Creature'],0.04,"['evasion', 'alliteration', 'alliteration', 'french-vanilla', 'flavors-of-vanilla', 'card-names']"
Cloud Djinn,['U'],['Creature'],0.05,"['evasion', 'drawback']"
Cloud Dragon,['U'],['Creature'],0.02,"['evasion', 'creature-type-erratum', 'drawback']"
Cloud Elemental,['U'],['Creature'],0.04,[]
Cloud Key,['C'],['Artifact'],0.02,"['ramp', 'synergy-artifact']"
Cloud Manta,['U'],['Creature'],0.04,"['evasion', 'french-vanilla', 'flavors-of-vanilla']"
Cloud of Faeries,['U'],['Creature'],0.05,"['evasion', 'draw', 'virtual-french-vanilla', 'card-advantage', 'flavors-of-vanilla']"
Cloud Pirates,['U'],['Creature'],,"['evasion', 'creature-type-erratum', 'drawback']"
Cloud Spirit,['U'],['Creature'],0.06,"['evasion', 'creature-type-erratum', 'drawback']"
Cloud Sprite,['U'],['Creature'],0.03,"['evasion', 'drawback', 'cycle']"
"Cloud, Ex-SOLDIER","['G', 'R', 'W']",['Creature'],,"['attack-trigger', 'attack-trigger', 'draw', 'synergy-attacker-self', 'repeatable-draw', 'synergy-attacker', 'ramp', 'power-matters', 'card-advantage']"
"Cloud, Planet's Champion","['R', 'W']",['Creature'],,"['alliteration', 'alliteration', 'card-names']"
Cloudblazer,"['U', 'W']",['Creature'],,"['evasion', 'lifegain', 'draw', 'virtual-french-vanilla', 'card-advantage', 'flavors-of-vanilla', 'draft-signpost', 'cycle']"
Cloudchaser Eagle,['W'],['Creature'],0.06,"['evasion', 'virtual-french-vanilla', 'removal-enchantment', 'removal', 'flavors-of-vanilla']"
Cloudchaser Kestrel,['W'],['Creature'],0.03,"['evasion', 'removal-enchantment', 'removal']"
Cloudcrest Lake,['C'],['Land'],0.03,"['cycle-land', 'cycle']"
Cloudfin Raptor,['U'],['Creature'],0.04,"['evasion', 'intervening-if-clause', 'gains-pp-counters', 'french-vanilla', 'power-matters', 'flavors-of-vanilla']"
